SE01;SE02;SE03;SE04;SE05;SE06;SE07;SE08;SE09;SE10;Q15;Q17;Q18;Q4;Q8;Q9;Q11;Q12;Q14;Q6;Q13;Q16;Q3;Q7;Q10;Q1;Q2;Q5
Setuju;Setuju;Tidak setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Tidak setuju;Tidak setuju;Setuju;Setuju;Tidak setuju
Sangat setuju;Setuju;Tidak setuju;Setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Netral;Sangat setuju;Sangat setuju;Agak setuju;Sangat setuju;Sangat tidak setuju;Sangat setuju;Sangat setuju;Agak setuju;Tidak setuju;Setuju;Tidak setuju;Tidak setuju;Setuju;Netral;Sangat setuju;Sangat setuju;Sangat setuju
Sangat setuju;Setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Agak setuju;Setuju;Agak setuju;Setuju;Sangat setuju;Sangat setuju;Sangat setuju;Agak setuju;Netral;Sangat setuju;Agak setuju;Agak setuju;Agak tidak setuju;Setuju;Agak setuju;Setuju;Agak setuju
Sangat setuju;Setuju;Setuju;Setuju;Setuju;Sangat setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Sangat setuju;Setuju;Setuju;Sangat setuju;Setuju;Sangat setuju;Sangat setuju;Tidak setuju;Agak setuju;Setuju;Netral;Agak setuju;Tidak setuju;Agak tidak setuju;Agak setuju;Agak setuju;Agak setuju
Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Sangat setuju;Setuju;Setuju;Sangat setuju;Tidak setuju;Tidak setuju;Agak tidak setuju;Tidak setuju;Agak tidak setuju;Agak tidak setuju;Agak setuju;Setuju;Netral;Netral;Setuju;Setuju;Setuju;Netral;Netral;Setuju;Setuju;Agak setuju
Setuju;Setuju;Tidak setuju;Setuju;Setuju;Sangat setuju;Tidak setuju;Setuju;Setuju;Setuju;Netral;Netral;Setuju;Tidak setuju;Setuju;Setuju;Setuju;Setuju;Tidak setuju;Netral;Setuju;Tidak setuju;Netral;Netral;Tidak setuju;Setuju;Setuju;Agak tidak setuju
Sangat setuju;Sangat setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Setuju;Sangat setuju;Netral;Netral;Netral;Agak setuju;Setuju;Agak setuju;Agak setuju;Netral;Sangat setuju;Netral;Setuju;Tidak setuju;Netral;Netral;Setuju;Sangat tidak setuju;Setuju;Setuju
Sangat setuju;Tidak setuju;Setuju;Setuju;Sangat setuju;Sangat setuju;Sangat setuju;Setuju;Sangat setuju;Setuju;Netral;Netral;Agak setuju;Netral;Setuju;Setuju;Sangat setuju;Sangat setuju;Tidak setuju;Tidak setuju;Agak setuju;Tidak setuju;Netral;Tidak setuju;Agak setuju;Setuju;Netral;Netral
Sangat setuju;Setuju;Sangat setuju;Sangat setuju;Sangat setuju;Setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Tidak setuju;Tidak setuju;Tidak setuju;Tidak setuju;Tidak setuju;Sangat tidak setuju;Sangat tidak setuju;Tidak setuju;Tidak setuju;Tidak setuju;Sangat tidak setuju;Sangat tidak setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju;Sangat setuju
Setuju;Tidak setuju;Tidak setuju;Tidak setuju;Tidak setuju;Setuju;Tidak setuju;Setuju;Tidak setuju;Setuju;Setuju;Agak setuju;Agak setuju;Setuju;Setuju;Agak setuju;Sangat setuju;Sangat setuju;Tidak setuju;Agak tidak setuju;Agak setuju;Tidak setuju;Setuju;Tidak setuju;Tidak setuju;Setuju;Agak setuju;Agak setuju
